"","date","variable","strat","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90"
"243",2020-09-21,"R",NA,"estimate",1.34978615154199,1.35692012812765,0.421701814268627,0.870657219449031,1.14889897253161,1.34345420272852,1.35321935900536,1.35862382786745,2.59569958124836
"244",2020-09-22,"R",NA,"estimate",1.34317706449545,1.36154310176695,0.434690617685207,0.871247914667199,1.17179016581805,1.33806912838106,1.34645929274468,1.35147007667915,2.65390604813627
"245",2020-09-23,"R",NA,"estimate",1.33543872569571,1.36345786477997,0.444952564496584,0.871795763598935,1.18762885595,1.33085902397826,1.33813424109931,1.3435319147608,2.6996862868405
"246",2020-09-24,"R",NA,"estimate",1.32599941438318,1.3625490029174,0.452249900904678,0.872296915464816,1.19648569135498,1.32186445893246,1.3290259895169,1.33487590282354,2.73254346941521
"247",2020-09-25,"R",NA,"estimate",1.31548738591825,1.35879084550768,0.456493091181118,0.872749430583354,1.20103397630291,1.31201446603812,1.3189685128644,1.32515497822353,2.7524128054497
"248",2020-09-26,"R",NA,"estimate",1.30348250753962,1.35225016738033,0.457735780919956,0.873153380429142,1.20142763578573,1.29989620594256,1.30710151551151,1.31292869298811,2.75966994303231
"249",2020-09-27,"R",NA,"estimate",1.29007670225116,1.34308408054043,0.456164039138001,0.873510906670064,1.1979585284946,1.28677010237109,1.29356395027991,1.29917620804228,2.75511641330867
"250",2020-09-28,"R",NA,"estimate",1.27533801767424,1.33153286000529,0.452079658572874,0.87382622957867,1.19104226892544,1.27173463497001,1.27856652655123,1.28385613561082,2.739940853885
"251",2020-09-29,"R",NA,"estimate",1.2589938401954,1.31790793038949,0.445877885804092,0.874105592649431,1.17921503605537,1.25550114829874,1.26192478746428,1.26734646495338,2.71565703990848
"252",2020-09-30,"R",NA,"estimate",1.24174561650648,1.30257578371349,0.438020721445073,0.874357129492654,1.16312114316912,1.23833785397888,1.24428979189541,1.24917902013156,2.68402244531061
"253",2020-10-01,"R",NA,"estimate",1.22333276845046,1.28593908690129,0.42900764980731,0.874590641615475,1.14848226910319,1.22032474420427,1.22566162034832,1.23021134486046,2.64694354661778
"254",2020-10-02,"R",NA,"estimate",1.20417357311347,1.26841655621064,0.419346116952462,0.874817281462496,1.13800707633256,1.20131367456881,1.20626054555315,1.21038044542647,2.60637575504524
"255",2020-10-03,"R",NA,"estimate",1.18440619840074,1.25042325325526,0.409524138967558,0.87504914342864,1.12410099729186,1.1813558033003,1.18628945259881,1.1901705940754,2.56422630487405
"256",2020-10-04,"R",NA,"estimate",1.1638101502373,1.2323527844659,0.399987063807455,0.875298775365869,1.11117802590811,1.16096743203534,1.16596240189755,1.16963099691351,2.52226755651354
"257",2020-10-05,"R",NA,"estimate",1.14350377499644,1.21456251674822,0.391119821647082,0.875578632987238,1.10374385395506,1.14060555258902,1.14582473159737,1.14931722990917,2.48206625685754
"258",2020-10-06,"R",NA,"estimate",1.12322309471022,1.1973624523849,0.383235156633327,0.875900508062772,1.09417058082269,1.12005697715036,1.12567021344023,1.12960339413573,2.44493184421059
"259",2020-10-07,"R",NA,"estimate",1.1037470105311,1.18100794135725,0.376567543116818,0.876274967097195,1.08831673922931,1.10066881974147,1.10579423832883,1.10990298098202,2.41188446477305
"260",2020-10-08,"R",NA,"estimate",1.08492600113933,1.16569603448868,0.371271927003425,0.87671083933028,1.07430482229405,1.08198379539042,1.08709779064323,1.09245247548367,2.3836414544255
"261",2020-10-09,"R",NA,"estimate",1.06554892777115,1.15156504258995,0.36742619406271,0.877214790949496,1.05588964973592,1.06280635662007,1.06813881436568,1.08590685432573,2.36061989118923
"262",2020-10-10,"R",NA,"estimate",1.04708391164599,1.13869676889749,0.365036346507441,0.877791016447894,1.03821016282381,1.04434494710434,1.04982304432751,1.0846060026603,2.34295245435994
"263",2020-10-11,"R",NA,"estimate",1.02938995048469,1.12712089401448,0.364043668784764,0.878441068727226,1.02098406191595,1.02690970162938,1.03207390359314,1.07690471548788,2.33051404858349
"264",2020-10-12,"R",NA,"estimate",1.01265082233158,1.11682106450842,0.364333530159748,0.879163837907892,1.00558466592184,1.01024482211261,1.01515750048542,1.07132616035322,2.32295716161398
"265",2020-10-13,"R",NA,"estimate",0.997604764900027,1.10774231551579,0.365745750913156,0.87995567622689,0.99055506087333,0.995057978772784,0.999761280637139,1.06327628720121,2.31975440103664
