"idx","r","y","iwt"
1,1.5,2,2
2,1.5,3,0.1804080208621
3,1.5,5,0.61868624574528
4,1.5,7,1.32899833777707
5,1.5,9,2.33905315638558
6,1.5,8,3.61263861535705
7,1.5,5,4.8250216825948
8,1.5,9,5.4919646362483
9,1.5,7,6.02197023810627
10,1.5,11,6.49759335611402
11,1.5,17,7.11116301765835
12,1.5,14,8.48016918183653
13,1.5,17,10.0322105780448
14,1.5,15,11.4880724366414
15,1.5,17,12.6965923353028
16,1.5,18,13.6781992293932
17,1.5,25,14.6437911915926
18,1.5,24,16.1500426399691
19,1.5,27,17.9840913466442
20,1.5,39,19.8607838695393
21,1.5,36,22.7389086233431
22,1.5,42,26.0446111425779
23,1.5,37,29.3432098047783
24,1.5,25,32.0651768704818
25,1.5,39,32.7480845163889
26,1.5,40,33.0626244536136
27,1.5,49,34.1877545705702
28,1.5,53,36.3133438236329
29,1.5,66,39.4202447323985
30,1.5,62,43.8382540423967
31,1.5,69,48.5337726804969
32,1.5,77,52.9774015467211
33,1.5,73,57.8143419322792
34,1.5,91,62.2032243630826
35,1.5,106,67.113012691875
36,1.5,124,73.9704215442256
37,1.5,143,83.0755526453161
38,1.5,143,94.4748654577204
39,1.5,142,106.181008472202
40,1.5,145,116.097500925134
41,1.5,149,124.026362913695
42,1.5,165,130.551143372784
43,1.5,209,137.250957460127
44,1.5,224,147.980712427775
45,1.5,296,162.727920337868
46,1.5,327,184.133831982481
47,1.5,364,212.123861138843
48,1.5,355,243.543273861144
49,1.5,364,272.938877853991
50,1.5,363,297.269301116684
51,1.5,377,316.460881083522
52,1.5,435,331.989023921325
53,1.5,595,349.90185581039
54,1.5,680,384.098994912025
55,1.5,789,436.998057703138
56,1.5,854,503.911876785282
57,1.5,870,578.528163602132
58,1.5,893,650.069257970587
59,1.5,856,712.511712422798
60,1.5,970,760.088316965988
61,1.5,1083,802.722895468151
62,1.5,1431,854.497860695575
63,1.5,1679,940.31207362221
64,1.5,1881,1070.21933603046
65,1.5,2003,1230.48103618755
66,1.5,2101,1401.15503429282
67,1.5,2014,1565.95898953371
68,1.5,2069,1701.57327188063
69,1.5,2365,1804.79351808974
70,1.5,2920,1910.37046295282
71,1.5,3391,2069.65816723485
72,1.5,4094,2302.39125317553
73,1.5,4593,2619.95875160635
74,1.5,4831,3010.00540412107
75,1.5,4761,3420.04035322989
76,1.5,4674,3783.01162281123
77,1.5,4846,4060.10386536455
78,1.5,5532,4272.59774101365
79,1.5,6761,4501.42288113678
80,1.5,8566,4856.015688488
81,1.5,9774,5444.20742419204
82,1.5,10721,6252.86757889296
83,1.5,11179,7180.9153304355
84,1.5,11000,8111.70771479521
85,1.5,10826,8912.85300957487
86,1.5,11471,9515.01057196635
87,1.5,13724,9997.67846712137
88,1.5,16690,10606.568570612
89,1.5,20362,11580.7466951278
90,1.5,23560,13061.3609256647
91,1.5,25251,15024.7921157789
92,1.5,26058,17221.0379197639
93,1.5,25197,19344.969882182
94,1.5,25155,21087.9538466875
95,1.5,27836,22361.5280527067
96,1.5,33186,23504.3668519036
97,1.5,41021,25078.0005145891
98,1.5,48589,27618.9216602039
99,1.5,56204,31311.2228583179
100,1.5,59884,36031.3611041734
101,0.8,31841,41222.8437472126
102,0.8,29545,43492.1775769357
103,0.8,27174,42316.0970015036
104,0.8,26952,39692.370177498
105,0.8,28719,36769.0591711771
106,0.8,30376,34333.1649762803
107,0.8,30979,32717.3431495924
108,0.8,30099,31814.8261884645
109,0.8,27019,31274.0281833734
110,0.8,23096,30615.3357069975
111,0.8,19456,29462.3680146375
112,0.8,17851,27724.2431679432
113,0.8,18079,25659.9714565116
114,0.8,19028,23712.1645535958
115,0.8,20130,22209.0940888655
116,0.8,20580,21263.0591738183
117,0.8,19443,20780.2060895181
118,0.8,17116,20469.0168760964
119,0.8,14488,19985.7860242541
120,0.8,12440,19126.6643070203
121,0.8,11559,17907.7239809994
122,0.8,11794,16533.3284048869
123,0.8,12566,15278.7982902562
124,0.8,13171,14347.4100228441
125,0.8,13192,13783.5503000292
126,0.8,12142,13483.1782975944
127,0.8,10610,13232.8837251157
128,0.8,9134,12833.7243843178
129,0.8,7878,12209.4679172292
130,0.8,7549,11390.3823934315
131,0.8,7845,10515.600104228
132,0.8,8456,9761.20261550815
133,0.8,8706,9242.12704949204
134,0.8,8523,8952.01410969181
135,0.8,7741,8790.69274722709
136,0.8,6795,8619.36271006669
137,0.8,5671,8335.01445288806
138,0.8,5024,7890.59712215652
139,0.8,4999,7325.10927064572
140,0.8,5254,6758.56940036783
141,0.8,5657,6300.73982250159
142,0.8,5747,6006.61165617148
143,0.8,5469,5852.40009169894
144,0.8,4986,5754.27426841007
145,0.8,4304,5630.44163191811
146,0.8,3632,5423.59577266409
147,0.8,3321,5113.55062390461
148,0.8,3299,4742.06705573222
149,0.8,3534,4383.41446759527
150,0.8,3680,4104.78448528058
151,0.8,3740,3927.08424668297
152,0.8,3580,3828.87110385299
153,0.8,3128,3764.54900870801
154,0.8,2602,3671.54248867797
