"idx","r","y","iwt"
1,1.5,2,2
2,1.5,2,0.1804080208621
3,1.5,4,0.528482235314231
4,1.5,7,1.06475722011995
5,1.5,8,1.9870825671877
6,1.5,3,3.19268157229296
7,1.5,6,3.92943661802605
8,1.5,8,4.32719205233883
9,1.5,6,4.91290710459779
10,1.5,7,5.42590953356855
11,1.49999999993,7,5.79371619861426
12,1.49999999923,12,6.11577930143379
13,1.49999999538,14,6.82217313563734
14,1.49999997998,16,8.0640703553407
15,1.49999992993,20,9.62033630978324
16,1.49999978979,21,11.5413581510335
17,1.49999943944,17,13.6478176464825
18,1.49999863864,22,15.2001758095013
19,1.49999693694,25,16.5009219158121
20,1.49999353354,27,18.1014086381304
21,1.49998706778,34,19.9386297773403
22,1.49997531758,32,22.3391618111851
23,1.49995478098,39,24.8471692398263
24,1.49992011558,44,27.5086295076044
25,1.49986341278,68,30.717818471692
26,1.4997732889,70,36.1196317616637
27,1.49963378415,83,43.2229145681887
28,1.49942307365,76,51.1542964855294
29,1.4991120129,90,58.3709527637765
30,1.4986625639,104,65.0179643698659
31,1.498026175,118,72.5937912646623
32,1.497142215,122,81.5058886227395
33,1.4959365875,126,90.7952318384419
34,1.4943206725,163,99.4044698675056
35,1.49219075625,170,110.026649950455
36,1.48942811483,176,122.766994253683
37,1.48589990938,202,135.307654292944
38,1.48146102878,211,148.566322103128
39,1.47595697638,251,162.52825115168
40,1.46922783858,262,178.777023339428
41,1.46111330054,285,196.928282279828
42,1.45145859394,322,215.754730631529
43,1.44012117939,348,236.738564859779
44,1.42697788769,331,260.003405586302
45,1.41193217554,386,280.652061481578
46,1.39492109838,389,301.004271322196
47,1.37592157168,411,321.920922006604
48,1.35495548808,432,341.985272864449
49,1.33209328718,468,361.945549692503
50,1.30745564338,521,383.38156796972
51,1.28121303615,513,409.148717659364
52,1.25358308765,550,435.222895651201
53,1.2248256859,576,460.193903275929
54,1.1952360489,611,485.629139093785
55,1.1651360174,622,512.134426743694
56,1.1348639826,593,538.183603624072
57,1.1047639511,630,558.126941013756
58,1.0751743141,673,574.200214705509
59,1.04641691235,590,592.630832050694
60,1.01878696385,621,604.366748022523
61,0.992544356619999,605,609.25624161079
62,0.967906712819999,607,611.429868228814
63,0.945044511919999,575,611.41444867297
64,0.924078428319999,571,607.838811149495
65,0.905078901619999,562,601.078548511262
66,0.888067824459999,538,593.123046390491
67,0.873022112309999,528,583.213072880524
68,0.859878820609999,501,571.665554237608
69,0.848541406059999,466,558.221732158624
70,0.838886699459999,482,541.259924944051
71,0.830772161419999,443,524.811688728997
72,0.824043023619999,459,508.614739137331
73,0.818538971219999,412,493.941127867657
74,0.814100090619999,376,478.893899675379
75,0.810571885169999,385,459.754601497288
76,0.807809243749999,355,440.558753181588
77,0.805679327499999,323,422.189373103332
78,0.804063412499999,340,402.142994946523
79,0.802857784999999,332,384.049042903025
80,0.801973824999999,287,369.851427766269
81,0.801337436099999,238,354.709149622209
82,0.800887987099999,248,334.236016919847
83,0.800576926349999,229,312.707333022721
84,0.800366215849999,229,293.055628861517
85,0.800226711099999,250,275.909198769017
86,0.800136587219999,214,264.233269821518
87,0.800079884419999,174,254.487023129562
88,0.800045219019999,190,241.025294049752
89,0.800024682419999,193,227.139534711299
90,0.800012932219999,164,216.551988350391
91,0.800006466459999,158,206.394856809467
92,0.800003063059999,164,195.553540768762
93,0.800001361359999,152,186.292498897992
94,0.800000560559999,161,178.35182105632
95,0.800000210209999,141,172.162705582751
96,0.800000070069999,151,166.353587920441
97,0.800000020019999,124,161.193378204073
98,0.800000004619999,136,155.281415187846
99,0.800000000769999,140,149.346043717439
100,0.800000000069999,120,145.457149198408
101,0.799999999999999,127,141.377559058365
102,0.799999999999999,105,137.198556249521
103,0.799999999999999,98,132.097777478993
104,0.799999999999999,99,125.394650749541
105,0.799999999999999,101,118.777723869704
106,0.799999999999999,95,113.461950465817
107,0.799999999999999,95,109.035826889603
108,0.799999999999999,93,105.234546665627
109,0.799999999999999,77,102.071232508536
110,0.799999999999999,82,98.0598589183852
111,0.800000000049999,74,93.7747292938817
112,0.800000000549999,66,89.6537446454754
113,0.800000003299999,66,84.9926036881884
114,0.800000014299999,71,80.3374665275255
115,0.800000050049999,43,76.8562576840496
116,0.800000150149999,55,72.143225412935
117,0.800000400399999,53,66.979946439931
118,0.800000972399999,43,63.045361429418
119,0.800002187899999,49,59.1406644014345
120,0.800004618899999,49,55.746563357057
121,0.800009237299999,46,53.4534530943908
122,0.800017630299999,34,51.6497776977653
123,0.800032299299999,31,49.0291065041759
124,0.800057060299999,39,45.4676253781913
125,0.800097562299999,35,42.6392111880909
126,0.800161936499999,34,40.6744638739333
127,0.800261582749999,31,38.982959880648
128,0.800412090249999,30,37.3186258161073
129,0.800634276499999,23,35.6379097392238
130,0.800955311499999,24,33.5153301786736
131,0.801409874999999,25,31.1967171387244
132,0.802041274999999,21,29.3197688495703
133,0.802902437499999,23,27.5996836204563
134,0.804056662499999,22,26.1255570262266
135,0.805578031249998,20,25.0091592798834
136,0.807551346549999,10,23.9521790922249
137,0.810071493299999,19,22.0494287632865
138,0.813242122299999,18,20.295812200221
139,0.817173588299999,17,19.3598734975664
140,0.821980115299999,13,18.7148238195264
141,0.827776213899999,17,17.8512214598524
142,0.834672432899999,21,17.1432789535163
143,0.842770586149999,13,17.2214753231589
144,0.852158651649999,11,17.1135941699164
145,0.862905588899999,17,16.256639967674
146,0.875056358299999,18,15.6687850707387
147,0.888627448799999,16,15.748825545184
148,0.903603222799999,12,15.9463853701495
149,0.919933366299999,14,15.6665480427231
150,0.937531683299999,14,15.1763615826862
151,0.956276402749999,18,14.8139099709722
152,0.976012080249999,10,14.9153795033509
153,0.996553081499999,18,14.7086311263609
154,1.0176885365,8,14.6252233054403
155,1.039188559,13,14.2149757677448
156,1.060811441,16,13.5528833099304
157,1.0823114635,16,13.4943287822507
158,1.1034469185,9,13.8607110869752
159,1.12398791975,8,13.695268222862
160,1.14372359725,20,12.8172885766771
161,1.1624683167,12,12.8309424709009
162,1.1800666337,12,13.2242333957748
163,1.1963967772,18,13.1793835265224
164,1.2113725512,21,13.5215183018769
165,1.2249436417,16,14.6113448079108
166,1.2370944111,19,15.5503291190924
167,1.24784134835,17,16.2359913752378
168,1.25722941385,26,16.7357430257748
169,1.2653275671,26,17.7723392459861
170,1.2722237861,23,19.4274726684991
171,1.2780198847,31,20.7832965323325
172,1.2828264117,23,22.3468942084674
173,1.2867578777,20,23.5401351502485
174,1.2899285067,27,23.6248692203501
175,1.29244865345,31,23.7262737714545
176,1.29442196875,30,24.6312266085858
177,1.2959433375,32,25.8599376764509
178,1.2970975625,43,27.1333199111644
179,1.297958725,33,29.347465441303
180,1.298590125,35,31.3736237147443
181,1.2990446885,48,32.5512062307007
182,1.2993657235,41,34.5361844161143
183,1.29958790975,47,36.7194316489186
184,1.29973841725,58,38.7265370355685
185,1.2998380635,48,41.7380359548128
186,1.2999024377,49,44.461511119382
187,1.2999429397,62,46.1014478537162
188,1.2999677007,74,48.3261473977742
189,1.2999823697,73,52.3439769248998
190,1.2999907627,67,57.0845946126087
191,1.2999953811,80,60.7513395046891
192,1.2999978121,90,64.2403175834231
193,1.2999990276,83,68.8657654246483
194,1.2999995996,73,73.2079070201276
195,1.29999984985,106,75.419244982557
196,1.29999994995,105,78.8349401363981
197,1.2999999857,128,84.2069436955793
198,1.2999999967,109,91.4770275252289
199,1.29999999945,119,98.0920837026913
200,1.29999999995,151,103.116410090198
201,1.3,141,110.310352364113
202,1.3,162,118.354310544851
