"date","y"
"2020-10-19",3141
"2020-10-20",2477
"2020-10-21",2659
"2020-10-22",2548
"2020-10-23",3105
"2020-10-24",2014
"2020-10-25",1930
"2020-10-26",4230
"2020-10-27",2749
"2020-10-28",2876
"2020-10-29",2956
"2020-10-30",3427
"2020-10-31",2322
"2020-11-01",2517
"2020-11-02",3304
"2020-11-03",4721
"2020-11-04",2859
"2020-11-05",4040
"2020-11-06",4809
"2020-11-07",4230
"2020-11-08",3952
"2020-11-09",4891
"2020-11-10",4641
"2020-11-11",4120
"2020-11-12",5491
"2020-11-13",4864
"2020-11-14",4285
"2020-11-15",4105
"2020-11-16",5818
"2020-11-17",4423
"2020-11-18",4714
"2020-11-19",5015
"2020-11-20",5073
"2020-11-21",4829
"2020-11-22",4634
"2020-11-23",6772
"2020-11-24",5430
"2020-11-25",5645
"2020-11-26",5862
"2020-11-27",5869
"2020-11-28",5584
"2020-11-29",5453
"2020-11-30",7674
"2020-12-01",5800
"2020-12-02",6368
"2020-12-03",6529
"2020-12-04",6823
"2020-12-05",6183
"2020-12-06",5931
"2020-12-07",7815
"2020-12-08",6261
"2020-12-09",6364
"2020-12-10",6564
"2020-12-11",7018
"2020-12-12",6175
"2020-12-13",5992
"2020-12-14",8545
"2020-12-15",6351
"2020-12-16",6818
"2020-12-17",7385
"2020-12-18",7194
"2020-12-19",6173
"2020-12-20",6069
"2020-12-21",7628
"2020-12-22",6524
"2020-12-23",6689
"2020-12-24",6353
"2020-12-25",5924
"2020-12-26",5377
"2020-12-27",5544
"2020-12-28",6270
"2020-12-29",9405
"2020-12-30",7714
"2020-12-31",6995
"2021-01-01",6333
"2021-01-02",5814
"2021-01-03",9625
"2021-01-04",9717
"2021-01-05",7528
"2021-01-06",8911
"2021-01-07",9231
"2021-01-08",8890
"2021-01-09",6890
"2021-01-10",6404
"2021-01-11",7420
"2021-01-12",6803
"2021-01-13",7091
"2021-01-14",7019
"2021-01-15",6949
"2021-01-16",5801
"2021-01-17",4884
"2021-01-18",6045
"2021-01-19",5316
"2021-01-20",5834
"2021-01-21",5843
"2021-01-22",5668
"2021-01-23",4302
"2021-01-24",3940
"2021-01-25",5352
"2021-01-26",4364
"2021-01-27",4451
"2021-01-28",4644
"2021-01-29",4688
"2021-01-30",3703
"2021-01-31",3203
"2021-02-01",4011
"2021-02-02",3630
"2021-02-03",3601
"2021-02-04",3929
"2021-02-05",3964
"2021-02-06",2971
"2021-02-07",2578
"2021-02-08",3506
"2021-02-09",2948
"2021-02-10",3609
"2021-02-11",3376
"2021-02-12",3310
"2021-02-13",2521
"2021-02-14",2210
"2021-02-15",1968
"2021-02-16",3978
"2021-02-17",2861
"2021-02-18",3450
"2021-02-19",3145
"2021-02-20",2573
"2021-02-21",2408
"2021-02-22",3574
"2021-02-23",3023
"2021-02-24",3059
"2021-02-25",3153
"2021-02-26",3115
"2021-02-27",2502
"2021-02-28",2137
"2021-03-01",3512
"2021-03-02",3054
"2021-03-03",2952
"2021-03-04",3239
"2021-03-05",3315
"2021-03-06",2654
"2021-03-07",2369
"2021-03-08",3766
"2021-03-09",3031
"2021-03-10",3210
"2021-03-11",3438
"2021-03-12",3771
"2021-03-13",2816
"2021-03-14",2403
"2021-03-15",3885
"2021-03-16",3478
"2021-03-17",3630
"2021-03-18",3927
"2021-03-19",4347
"2021-03-20",3319
"2021-03-21",3107
"2021-03-22",5087
"2021-03-23",4044
"2021-03-24",4997
"2021-03-25",5167
"2021-03-26",5611
"2021-03-27",4122
"2021-03-28",4028
"2021-03-29",6609
"2021-03-30",5234
"2021-03-31",6518
"2021-04-01",6354
"2021-04-02",4619
"2021-04-03",5962
"2021-04-04",4381
"2021-04-05",7516
"2021-04-06",11179
"2021-04-07",8156
