"r","y","idx"
1.5,1800,600
1.5,1591,600
1.5,1408,600
1.5,1503,600
1.5,1597,600
1.5,1891,600
1.5,2069,600
1.5,2547,600
1.5,2349,600
1.5,2335,600
1.5,2046,600
1.5,1863,600
1.5,1852,600
1.5,2078,600
1.5,2521,600
1.5,2942,600
1.5,3092,600
1.5,3027,600
1.5,2812,600
1.5,2559,600
1.5,2414,600
1.5,2450,600
1.5,2781,600
1.5,3364,600
1.5,3849,600
1.5,3805,600
1.5,3870,600
1.5,3415,600
1.5,3087,600
1.5,2996,600
1.5,3177,600
1.5,3747,600
1.5,4442,600
1.5,4874,600
1.5,4961,600
1.5,4640,600
1.5,4303,600
1.5,3912,600
1.5,3777,600
1.5,4176,600
1.5,5222,600
1.5,5783,600
1.5,6317,600
1.5,6372,600
1.5,5773,600
1.5,5428,600
1.5,4682,600
1.5,4812,600
1.5,5562,600
1.5,6492,600
1.5,7531,600
1.5,8015,600
1.5,7970,600
1.5,7579,600
1.5,6639,600
1.5,6059,600
1.5,6374,600
1.5,7244,600
1.5,8546,600
0.6,3924,600
0.6,4084,600
0.6,4009,600
0.6,3536,600
0.6,3122,600
0.6,2842,600
0.6,2931,600
0.6,3273,600
0.6,3754,600
0.6,3967,600
0.6,3842,600
0.6,3429,600
0.6,2961,600
0.6,2570,600
0.6,2321,600
0.6,2420,600
0.6,2698,600
0.6,3044,600
0.6,3153,600
0.6,2885,600
0.6,2686,600
0.6,2311,600
0.6,1953,600
0.6,1756,600
0.6,2004,600
0.6,2198,600
0.6,2428,600
0.6,2277,600
0.6,2184,600
0.6,1958,600
0.6,1605,600
0.6,1430,600
0.6,1359,600
0.6,1505,600
0.6,1722,600
0.6,1831,600
0.6,1897,600
0.6,1694,600
0.6,1398,600
0.6,1223,600
0.6,1095,600
0.6,1105,600
0.6,1161,600
0.6,1308,600
0.6,1434,600
0.6,1403,600
0.6,1310,600
0.6,1100,600
0.6,882,600
0.6,856,600
0.6,833,600
0.6,978,600
0.6,1120,600
0.6,1083,600
0.6,1085,600
0.6,1045,600
0.6,819,600
0.6,695,600
0.6,670,600
0.6,684,600
0.6,771,600
0.6,863,600
0.6,893,600
0.6,832,600
0.6,709,600
0.6,631,600
0.6,534,600
0.6,499,600
0.6,549,600
0.6,601,600
0.6,700,600
0.6,688,600
0.6,626,600
0.6,541,600
0.6,453,600
0.6,392,600
0.6,421,600
0.6,459,600
0.6,509,600
0.6,542,600
0.6,519,600
0.6,430,600
0.6,383,600
0.6,339,600
0.6,321,600
0.6,320,600
0.6,324,600
0.6,382,600
0.6,402,600
0.6,344,600
0.6,373,600
0.6,279,600
0.6,268,600
0.6,244,600
0.6,254,600
0.6,297,600
0.6,310,600
0.6,307,600
0.6,308,600
0.6,247,600
