"idx","r","y","iwt"
1,1.5,2,2
2,1.5,3,0.1804080208621
3,1.5,6,0.61868624574528
4,1.5,4,1.41920234820812
5,1.5,3,2.2424782323185
6,1.5,5,2.72723671306437
7,1.5,9,3.12820611269106
8,1.5,2,3.92631816700592
9,1.5,10,4.37399700224395
10,1.5,9,4.89278316850554
11,1.5,8,5.7841196402087
12,1.5,14,6.51969654994684
13,1.5,8,7.56070203477784
14,1.5,15,8.39936250454724
15,1.5,11,9.27748796966608
16,1.5,15,10.1256647975344
17,1.5,16,10.9338705905317
18,1.5,27,11.9509074143928
19,1.5,23,13.9441713764273
20,1.5,32,16.337915032505
21,1.5,29,19.061771686471
22,1.5,38,21.7962827250937
23,1.5,29,24.7293551898303
24,1.5,29,27.0510724590646
25,1.5,29,28.2069138119356
26,1.5,26,28.7549081969316
27,1.5,45,28.7238366863623
28,1.5,44,30.0045830348817
29,1.5,44,32.7071015647667
30,1.5,56,35.4496478961094
31,1.5,60,38.8647718860359
32,1.5,62,43.1347856650017
33,1.5,59,47.4970847748552
34,1.5,65,51.0765869973185
35,1.5,75,54.161324256071
36,1.5,97,57.876199200183
37,1.5,124,63.8783882251111
38,1.5,129,73.6498041752397
39,1.5,149,85.4906500137235
40,1.5,129,98.3867698156754
41,1.5,131,109.16275218572
42,1.5,127,116.378588026168
43,1.5,160,120.935989180078
44,1.5,201,126.528114479386
45,1.5,222,137.465761284734
46,1.5,281,153.220032402739
47,1.5,311,174.986126870296
48,1.5,296,202.112414569416
49,1.5,294,227.596329430597
50,1.5,290,247.381057565826
51,1.5,338,261.516093359671
52,1.5,387,275.455699855188
53,1.5,445,294.686782088379
54,1.5,628,321.285093487871
55,1.5,636,366.730708788714
56,1.5,738,424.620069368014
57,1.5,715,487.842627886948
58,1.5,735,547.755109635909
59,1.5,762,597.492299947346
60,1.5,823,639.513781853981
61,1.5,926,679.438152004444
62,1.5,1236,725.642495719998
63,1.5,1445,801.622339589775
64,1.5,1583,915.675933786181
65,1.5,1760,1052.03101744851
66,1.5,1714,1200.36297985748
67,1.5,1687,1337.42382713462
68,1.5,1716,1443.71100253317
69,1.5,2018,1523.0933311543
70,1.5,2389,1609.40351713951
71,1.5,2916,1737.87908802562
72,1.5,3487,1933.48543936608
73,1.5,3914,2209.06254340854
74,1.5,4010,2546.80668363595
75,1.5,3944,2891.38169550653
76,1.5,4040,3185.37267847924
77,1.5,4109,3419.63475902924
78,1.5,4706,3608.08282043309
79,1.5,5796,3808.81183907045
80,1.5,7060,4119.87927557152
81,1.5,8174,4607.82632183887
82,1.5,9141,5267.46019920946
83,1.5,9273,6047.33825222003
84,1.5,9355,6825.10118502961
85,1.5,9090,7497.60000372921
86,1.5,9754,8008.65360933065
87,1.5,11502,8423.96720425461
88,1.5,14257,8940.34232699773
89,1.5,16877,9775.40919681573
90,1.5,19915,11012.7791081384
91,1.5,21526,12649.9095073104
92,1.5,21812,14522.2624488812
93,1.5,21276,16321.1664425526
94,1.5,21264,17784.6774270594
95,1.5,23581,18862.5105852155
96,1.5,28311,19839.820017873
97,1.5,34350,21205.2194930968
98,1.5,41407,23352.3674996304
99,1.5,47930,26481.4616173601
100,1.5,51228,30531.7355912559
101,0.8,27482,35012.8075611706
102,0.8,25108,37029.7230187485
103,0.8,22879,36079.3998846936
104,0.8,23008,33830.1592788799
105,0.8,24354,31318.9083085993
106,0.8,25954,29229.8060887094
107,0.8,26834,27850.7316075434
108,0.8,25737,27129.1295623211
109,0.8,22926,26719.0218012234
110,0.8,19569,26162.5533431498
111,0.8,16806,25153.9480652293
112,0.8,15232,23669.0180688957
113,0.8,15360,21918.2421723107
114,0.8,16324,20250.5623725366
115,0.8,17271,18966.8662449997
116,0.8,17546,18170.8804407685
117,0.8,16553,17763.5419311601
118,0.8,14632,17490.4384523365
119,0.8,12203,17071.5549326835
120,0.8,10439,16320.6634436459
121,0.8,9764,15247.8171075499
122,0.8,10127,14047.7592575113
123,0.8,10877,12975.8231397915
124,0.8,11444,12208.083439967
125,0.8,11424,11770.7176240817
126,0.8,10672,11557.433843036
127,0.8,9642,11390.4797320536
128,0.8,7868,11124.9169336309
129,0.8,6784,10637.6175108762
130,0.8,6645,9931.78194325364
131,0.8,6690,9172.24750350674
132,0.8,7306,8505.62586705095
133,0.8,7580,8034.86335585374
134,0.8,7604,7773.55414940526
135,0.8,6892,7649.62307094729
136,0.8,5922,7532.74284148113
137,0.8,4907,7303.0485146226
138,0.8,4416,6913.1802863559
139,0.8,4275,6414.87254747118
140,0.8,4489,5909.3749160786
141,0.8,4934,5489.68553342431
142,0.8,5002,5220.50696776635
143,0.8,4784,5083.25910954931
144,0.8,4386,5000.52358717728
145,0.8,3760,4900.66391820995
146,0.8,3078,4727.78058731705
147,0.8,2854,4452.8312562555
148,0.8,2957,4118.62855884615
149,0.8,3011,3809.18585217248
150,0.8,3103,3568.28544571805
151,0.8,3253,3401.68402179073
152,0.8,3226,3307.68368537341
153,0.8,2712,3262.20136040097
154,0.8,2369,3193.49986012343
