"idx","r","y","iwt"
1,1.5,2,2
2,1.5,5,0.1804080208621
3,1.5,5,0.79909426660738
4,1.5,7,1.6770725522292
5,1.5,3,2.6949201203292
6,1.5,3,3.37505365409323
7,1.5,9,3.56719569613554
8,1.5,8,4.09129269343569
9,1.5,10,4.95385003889506
10,1.5,14,5.92317438951853
11,1.5,14,7.27175141536541
12,1.5,17,8.8095199865251
13,1.5,20,10.4494258270747
14,1.5,16,12.3374730923744
15,1.5,15,13.857528847182
16,1.5,15,14.6582154581537
17,1.5,22,15.0056860419619
18,1.5,29,15.7640610968374
19,1.5,23,17.6399161095523
20,1.5,52,19.5475273915603
21,1.5,31,23.3997199910769
22,1.5,42,27.350419865216
23,1.5,28,30.3610663835213
24,1.5,28,32.0076830378372
25,1.5,34,31.9929774919785
26,1.5,46,31.9106064110894
27,1.5,58,33.2862279000794
28,1.5,56,36.8430612067037
29,1.5,63,41.2466165608995
30,1.5,92,45.7821132302286
31,1.5,74,52.7321864030111
32,1.5,70,59.7446723963208
33,1.5,75,64.170588827516
34,1.5,88,67.152311031661
35,1.5,92,70.6368419315804
36,1.5,130,74.9676767732462
37,1.5,168,82.6255665619237
38,1.5,201,96.204919977987
39,1.5,175,115.292396708007
40,1.5,212,133.238072870645
41,1.5,200,149.642969693416
42,1.5,171,164.249544153614
43,1.5,239,172.541904726668
44,1.5,275,181.487651615892
45,1.5,329,196.929906111918
46,1.5,402,219.56847592992
47,1.5,415,251.423616121305
48,1.5,443,287.627072360384
49,1.5,425,323.190929320638
50,1.5,451,353.199084248052
51,1.5,470,377.699854700914
52,1.5,568,399.775251460499
53,1.5,737,427.608392775279
54,1.5,854,474.827275950511
55,1.5,986,543.341090236609
56,1.5,1084,628.548472238884
57,1.5,1101,724.074483479082
58,1.5,1060,816.472999725081
59,1.5,1074,890.816085587693
60,1.5,1167,945.620970474805
61,1.5,1422,994.046934093317
62,1.5,1801,1061.64014200132
63,1.5,2089,1176.48384987494
64,1.5,2389,1341.3976613162
65,1.5,2537,1544.86965512805
66,1.5,2437,1763.75968655142
67,1.5,2436,1954.97604093287
68,1.5,2488,2099.85644649456
69,1.5,2830,2209.8866912625
70,1.5,3378,2324.27130787846
71,1.5,4190,2494.07882066137
72,1.5,4932,2766.64018679754
73,1.5,5702,3154.20317844547
74,1.5,5924,3641.47188802295
75,1.5,5782,4159.76041101981
76,1.5,5640,4610.75539322042
77,1.5,5986,4945.18809588925
78,1.5,6880,5206.99907322696
79,1.5,8382,5504.5597949094
80,1.5,10285,5962.45575971024
81,1.5,11960,6677.15379796956
82,1.5,13142,7649.72820291016
83,1.5,13725,8781.44765566781
84,1.5,13259,9925.46543731785
85,1.5,13273,10892.5277951647
86,1.5,14173,11615.9257930105
87,1.5,16699,12219.7777699107
88,1.5,20367,12972.1720250871
89,1.5,24721,14156.8112206302
90,1.5,28726,15946.8136498044
91,1.5,31043,18324.9888555091
92,1.5,31904,21019.1383230114
93,1.5,30844,23639.8016140045
94,1.5,30927,25787.7211817942
95,1.5,33930,27368.1871545992
96,1.5,40667,28771.4594571608
97,1.5,49530,30694.0344637064
98,1.5,59561,33744.7842197432
99,1.5,68305,38215.7662222393
100,1.5,72735,43953.9214517201
101,0.8,39123,50234.4628004444
102,0.8,35918,52996.4985509739
103,0.8,33157,51575.6218782326
104,0.8,32958,48379.7736788911
105,0.8,34767,44829.3750024398
106,0.8,37170,41848.5313958586
107,0.8,37779,39872.3511629225
108,0.8,36482,38781.9163941861
109,0.8,32262,38108.5036268841
110,0.8,28377,37228.2957538247
111,0.8,23787,35785.1702122011
112,0.8,21484,33693.318588701
113,0.8,21717,31182.3519090895
114,0.8,23136,28778.1557980257
115,0.8,24524,26928.5060890152
116,0.8,24844,25786.1124847675
117,0.8,23491,25199.3167630529
118,0.8,20670,24806.3911808728
119,0.8,17706,24203.7300318681
120,0.8,15182,23167.5732519471
121,0.8,13879,21713.1670398101
122,0.8,14675,20049.4420557473
123,0.8,15387,18553.8979812361
124,0.8,16418,17467.4196183845
125,0.8,16292,16838.640242406
126,0.8,15111,16530.8367993765
127,0.8,13121,16274.0950397617
128,0.8,11261,15820.0708544833
129,0.8,9711,15067.400151372
130,0.8,9188,14061.3921355074
131,0.8,9534,12970.6062320831
132,0.8,10226,12014.9231189464
133,0.8,10873,11341.676267095
134,0.8,10363,10979.6376820659
135,0.8,9826,10783.9376387583
136,0.8,8300,10598.3352879827
137,0.8,7132,10272.8331803378
138,0.8,6197,9742.29903519531
139,0.8,6060,9058.66408678012
140,0.8,6425,8351.77343557903
141,0.8,6863,7769.83930288907
142,0.8,6960,7387.06156100157
143,0.8,6739,7173.86106168131
144,0.8,6205,7042.3843269445
145,0.8,5216,6898.87840600751
146,0.8,4410,6649.4488101538
147,0.8,4038,6263.0605050048
148,0.8,3930,5800.47295248418
149,0.8,4215,5347.69171691145
150,0.8,4589,4987.34658314154
151,0.8,4531,4768.94606926358
152,0.8,4484,4655.51026520261
153,0.8,3908,4590.26353110878
154,0.8,3265,4497.85156872742
155,0.8,2843,4314.53421696243
156,0.8,2645,4046.54252345772
157,0.8,2720,3743.7633020239
158,0.8,2899,3469.03388136386
159,0.8,2905,3268.14907484826
160,0.8,2970,3137.6379421377
161,0.8,2769,3059.47227099885
162,0.8,2463,2998.73379254045
163,0.8,2036,2913.21997357293
164,0.8,1824,2773.54187450349
165,0.8,1680,2588.84907554277
166,0.8,1774,2389.50251707581
167,0.8,1822,2214.80234646019
168,0.8,1945,2086.61934648198
169,0.8,1912,2009.59067916529
170,0.8,1743,1968.27687610374
171,0.8,1614,1929.12121930182
172,0.8,1261,1874.26540322381
173,0.8,1119,1781.94925969524
174,0.8,1075,1654.52669301057
175,0.8,1172,1520.77233717017
176,0.8,1287,1411.30301253409
177,0.8,1317,1344.35651683239
178,0.8,1279,1313.5545695123
179,0.8,1150,1299.32882902553
180,0.8,952,1279.31188309237
181,0.8,815,1234.06784328335
182,0.8,719,1161.39632807089
183,0.8,693,1072.37395777236
184,0.8,807,982.570461247645
185,0.8,816,914.986103396495
186,0.8,804,874.21683798963
187,0.8,795,849.123193778054
188,0.8,693,832.094033766757
189,0.8,571,810.885718198457
190,0.8,496,773.827880174231
191,0.8,474,722.028331202196
192,0.8,481,665.994572145801
193,0.8,496,616.288093205343
194,0.8,592,578.41011318192
195,0.8,485,560.376589123866
196,0.8,516,548.986474329966
197,0.8,430,537.686343815145
198,0.8,395,522.414274202115
199,0.8,346,499.331449047749
200,0.8,295,470.267356737551
201,1.3,534,435.736031403867
202,1.3,574,422.802937186266
203,1.3,634,438.868598538633
204,1.3,760,471.111855448031
205,1.3,784,519.557228689975
206,1.3,756,576.769080017572
207,1.3,706,627.373533419694
208,1.3,724,661.393378899311
209,1.3,732,682.438166127102
210,1.3,853,697.336267832011
211,1.3,1020,719.098232330845
212,1.3,1157,762.898501580486
213,1.3,1307,831.173640667693
214,1.3,1259,920.265087212877
215,1.3,1294,1008.58377909176
216,1.3,1180,1083.00051944603
217,1.3,1192,1132.760194381
218,1.3,1243,1159.46178189171
219,1.3,1546,1178.92265732802
